Time resolution is 1 ps
[3370000 ns] led_out = 1111111111000000
[3390000 ns] led_out = 1111111111100000
[3410000 ns] led_out = 1111111111110000
[3430000 ns] led_out = 1111111111100000
[3450000 ns] led_out = 1111111111000000
[3470000 ns] led_out = 1111111110000000
[3490000 ns] led_out = 1111111100000000
[3510000 ns] led_out = 1111111000000000
[3530000 ns] led_out = 1111110000000000
[3550000 ns] led_out = 1111100000000000
[3570000 ns] led_out = 1111000000000000
[3590000 ns] led_out = 1111100000000000
[3610000 ns] led_out = 1111110000000000
[3630000 ns] led_out = 1111111000000000
[3650000 ns] led_out = 1111111100000000
[3670000 ns] led_out = 1111111000000000
[3690000 ns] led_out = 1111110000000000
[3710000 ns] led_out = 1111100000000000
[3730000 ns] led_out = 1111000000000000
[3750000 ns] led_out = 1110000000000000
[3770000 ns] led_out = 1100000000000000
[3790000 ns] led_out = 1000000000000000
[3810000 ns] led_out = 0000000000000000
[3830000 ns] led_out = 1000000000000000
[3850000 ns] led_out = 1100000000000000
[3870000 ns] led_out = 1110000000000000
[3890000 ns] led_out = 1111000000000000
[3910000 ns] led_out = 1110000000000000
[3930000 ns] led_out = 1100000000000000
[3950000 ns] led_out = 1000000000000000
[3970000 ns] led_out = 0000000000000000
[3990000 ns] led_out = 0000000000000001
[4010000 ns] led_out = 0000000000000011
[4030000 ns] led_out = 0000000000000111
[4050000 ns] led_out = 0000000000001111
[4070000 ns] led_out = 0000000000000111
[4090000 ns] led_out = 0000000000000011
[4110000 ns] led_out = 0000000000000001
[4130000 ns] led_out = 0000000000000000
[4150000 ns] led_out = 0000000000000001
[4170000 ns] led_out = 0000000000000011
[4190000 ns] led_out = 0000000000000111
[4210000 ns] led_out = 0000000000001111
[4230000 ns] led_out = 0000000000011111
[4250000 ns] led_out = 0000000000111111
[4270000 ns] led_out = 0000000001111111
[4290000 ns] led_out = 0000000011111111
[4310000 ns] led_out = 0000000001111111
[4330000 ns] led_out = 0000000000111111
[4350000 ns] led_out = 0000000000011111
[4370000 ns] led_out = 0000000000001111
[4390000 ns] led_out = 0000000000011111
[4410000 ns] led_out = 0000000000111111
[4430000 ns] led_out = 0000000001111111
[4450000 ns] led_out = 0000000011111111
[4470000 ns] led_out = 0000000111111111
[4490000 ns] led_out = 0000001111111111
[4510000 ns] led_out = 0000011111111111
[4530000 ns] led_out = 0000111111111111
[4550000 ns] led_out = 0000011111111111
[4570000 ns] led_out = 0000001111111111
[4590000 ns] led_out = 0000000111111111
[4610000 ns] led_out = 0000000011111111
[4630000 ns] led_out = 0000000111111111
[4650000 ns] led_out = 0000001111111111
[4670000 ns] led_out = 0000011111111111
[4690000 ns] led_out = 0000111111111111
[4710000 ns] led_out = 0001111111111111
[4730000 ns] led_out = 0011111111111111
[4750000 ns] led_out = 0111111111111111
[4770000 ns] led_out = 1111111111111111
[4790000 ns] led_out = 0111111111111111
[4810000 ns] led_out = 0011111111111111
[4830000 ns] led_out = 0001111111111111
[4850000 ns] led_out = 0000111111111111
[4870000 ns] led_out = 0001111111111111
[4890000 ns] led_out = 0011111111111111
[4910000 ns] led_out = 0111111111111111
[4930000 ns] led_out = 1111111111111111
[4950000 ns] led_out = 1111111111111110
[4970000 ns] led_out = 1111111111111100
[4990000 ns] led_out = 1111111111111000
[5010000 ns] led_out = 1111111111110000
[5030000 ns] led_out = 1111111111111000
[5050000 ns] led_out = 1111111111111100
[5070000 ns] led_out = 1111111111111110
[5090000 ns] led_out = 1111111111111111
[5110000 ns] led_out = 1111111111111110
[5130000 ns] led_out = 1111111111111100
[5150000 ns] led_out = 1111111111111000
[5170000 ns] led_out = 1111111111110000
[5190000 ns] led_out = 1111111111100000
[5210000 ns] led_out = 1111111111000000
[5230000 ns] led_out = 1111111110000000
[5250000 ns] led_out = 1111111100000000
[5270000 ns] led_out = 1111111110000000
[5290000 ns] led_out = 1111111111000000
[5310000 ns] led_out = 1111111111100000
[5330000 ns] led_out = 1111111111110000
[5350000 ns] led_out = 1111111111100000
[5370000 ns] led_out = 1111111111000000
[5390000 ns] led_out = 1111111110000000
[5410000 ns] led_out = 1111111100000000
[5430000 ns] led_out = 1111111000000000
